bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,total_rooms,bath_bed_ratio,luxury_score,is_multi_story,log_area,log_price_per_sqft,log_area_story_interaction
3,2,4,1,0,0,0,1,1,0,2,5,0.6666666666666666,1,1,0.6026535307706002,0.8234573304233486,1.6947233291087962
3,2,1,1,0,1,0,1,3,0,1,5,0.6666666666666666,2,0,1.0436120208460888,-0.23041757691221842,-0.0376177778874641
2,1,1,1,0,1,0,1,2,0,2,3,0.5,2,0,-0.5357403755077067,0.22769309682736605,-1.1890613729708481
3,1,2,1,0,1,0,0,0,1,0,4,0.3333333333333333,2,1,-1.5415326523946837,0.9672501174915782,-0.5975841524410084
3,1,2,1,0,0,0,0,0,0,0,4,0.3333333333333333,0,1,-0.5809125836399986,-0.46944185372501884,0.03023841388008231
3,1,2,1,0,1,0,0,0,0,1,4,0.3333333333333333,1,1,0.1566573655120477,-0.08250730778401756,0.4920023141327535
3,1,2,1,0,0,0,0,0,0,0,4,0.3333333333333333,0,1,-0.5128110709385497,-1.923778115109198,0.07361148515927689
3,1,1,0,0,0,0,0,0,0,0,4,0.3333333333333333,0,0,0.18936221460321387,-1.2691117771617466,-0.6484984771910277
3,1,1,0,0,0,0,0,0,0,0,4,0.3333333333333333,0,0,-1.01262575378482,-0.5044877820977102,-1.555632028013617
3,1,1,1,0,0,0,0,0,0,1,4,0.3333333333333333,0,0,0.6107912757113788,-1.170632541747004,-0.34362558642562296
3,1,2,0,0,1,1,0,0,0,1,4,0.3333333333333333,2,1,-1.0630699498395464,0.6558647629886506,-0.28113918400312177
2,1,1,1,0,0,0,0,0,0,0,3,0.5,0,0,1.2035094467769447,-2.7371677119600792,0.07361148515927689
3,1,1,1,0,0,0,0,3,0,2,4,0.3333333333333333,0,0,0.9761251840894329,-1.23915736071134,-0.08485806265851442
3,1,2,1,0,1,0,0,0,0,1,4,0.3333333333333333,1,1,-0.7087966785481402,0.2059550400082722,-0.051615265770449024
2,1,2,1,0,0,0,1,0,0,2,3,0.5,1,1,-1.1673095238906663,0.7226191213102796,-0.34944797547589374
3,2,1,1,1,1,1,0,0,0,0,5,0.6666666666666666,3,0,0.7787549428670155,-0.3620840426661529,-0.2240194342360334
3,1,1,0,0,0,0,0,0,0,1,4,0.3333333333333333,0,0,-1.770055445228159,-0.7034445114360375,-2.1559136197164155
4,2,1,1,0,0,0,1,0,1,0,6,0.5,2,0,0.29689954762408166,0.12224809271889017,-0.570053870597608
3,1,1,0,0,0,0,0,0,0,0,4,0.3333333333333333,0,0,1.1167407533954083,-1.8364205225238532,0.01337443198320882
4,2,2,1,0,0,0,0,2,1,2,6,0.5,1,1,2.2442708718281548,-1.4064373960251153,1.7039000727465488
3,2,1,1,1,1,0,0,3,0,2,5,0.6666666666666666,2,0,1.06344812099612,-1.5047569477554528,-0.02376590165586222
3,1,2,1,0,0,0,0,0,0,1,4,0.3333333333333333,0,1,-1.1673095238906663,0.9495305703749565,-0.34944797547589374
3,1,3,1,0,0,0,1,0,0,1,4,0.3333333333333333,1,1,0.24953532061028658,0.47497765835778755,1.1349782528466166
3,1,2,1,1,1,0,1,2,1,0,4,0.3333333333333333,4,1,1.4087715349076944,-1.1344823945343323,1.2357017183952843
3,2,4,1,0,0,0,0,1,0,2,5,0.6666666666666666,0,1,0.806760195930081,-0.11425201726029326,1.796745563594691
3,1,2,1,0,0,0,0,0,0,0,4,0.3333333333333333,0,1,-0.6510853233775777,0.02885345027660642,-0.014610876873296895
2,1,1,0,0,0,0,0,0,0,0,3,0.5,0,0,-0.6617973044227289,-0.9834380341364157,-1.2851048746199434
3,1,1,1,0,0,0,0,0,0,1,4,0.3333333333333333,0,0,-0.4142984837902342,-0.9733829481414966,-1.0971138336994983
2,2,1,1,0,0,0,1,2,0,1,4,1.0,1,0,-0.05799971573352098,0.5581986772415287,-0.830629842508356
2,1,1,0,0,0,0,0,0,0,1,3,0.5,0,0,0.4507336193851497,-1.0265344397023852,-0.4586109740571249
3,1,2,1,0,0,0,0,0,1,1,4,0.3333333333333333,1,1,-0.7456089458194749,0.671908928064105,-0.07527556157799044
2,1,1,0,0,1,0,0,0,0,1,3,0.5,1,0,-2.5158586434642216,0.7865590109437169,-2.7686829968514655
3,1,2,1,0,1,0,0,0,0,2,4,0.3333333333333333,1,1,-1.0377129413180748,0.5173940181690259,-0.2645758858562712
3,1,2,1,1,0,0,1,1,0,1,4,0.3333333333333333,2,1,0.4681440615226551,-0.43304049326797917,0.6817333411649861
3,1,3,1,0,0,0,0,1,1,0,4,0.3333333333333333,1,1,-2.0798002343721853,2.2634902168682,-0.22802157215149843
2,1,1,1,0,0,0,0,1,0,0,3,0.5,0,0,1.3232474722512937,-2.33457737899363,0.156262382840127
2,1,1,0,0,0,0,0,0,0,0,3,0.5,0,0,-0.45974518033636047,-0.38313142694250085,-1.1314563782134468
3,2,2,1,0,0,0,1,1,1,1,5,0.6666666666666666,2,1,0.7674502422602982,1.1177614729315295,0.8610965132138095
3,2,2,1,0,0,0,0,2,0,1,5,0.6666666666666666,0,1,-0.3322204658288647,-0.21013617041520283,0.18790079132736473
4,1,2,1,0,1,0,0,1,1,1,5,0.25,2,1,2.1198819053689344,-1.065615288843076,1.6356139889419306
4,2,2,1,1,1,0,0,1,0,1,6,0.5,2,1,1.735562615171952,-1.7672543536882352,1.421497859273088
2,1,1,1,0,0,0,0,1,1,1,3,0.5,1,0,1.8945376777226823,-2.135175092072308,0.5430374990862934
3,1,2,1,1,1,0,0,0,0,0,4,0.3333333333333333,2,1,0.5862862307485672,-1.1938011577551495,0.7528766183589424
3,1,2,1,0,0,0,0,0,1,1,4,0.3333333333333333,1,1,-1.2763413674762787,1.4441741163011323,-0.42127439882573203
2,1,2,1,0,0,0,0,0,0,0,3,0.5,0,1,0.7446617384454169,-0.9483535017299206,0.8475417642326116
3,1,2,0,0,0,0,0,1,0,1,4,0.3333333333333333,0,1,-0.7754842160862967,-0.32824003998365253,-0.09450952239825323
4,1,4,1,0,1,0,1,2,0,1,5,0.25,2,1,1.3232474722512937,-1.2734530373035435,2.0498863724925753
4,2,2,1,1,1,0,1,2,1,2,6,0.5,4,1,0.812317847853062,0.9475052497360194,0.8877351489733463
3,1,1,1,0,1,0,0,0,1,2,4,0.3333333333333333,2,0,-1.3644114215778853,1.4246687998158043,-1.8316715013265372
3,2,4,1,0,0,0,1,2,0,0,5,0.6666666666666666,1,1,0.7900007269496643,0.6594548836043846,1.788410796347888
6,1,2,1,0,0,0,0,1,0,0,7,0.16666666666666666,0,1,-0.6869862334969506,0.06841766136028717,-0.0376177778874641
2,1,1,1,0,1,0,0,2,0,2,3,0.5,1,0,-1.0084704086942475,0.30541638023756135,-1.552399986775455
